title,people
Filly Brown,"Baby Bash, Chingo Bling, Chrissie Fit, David Bianchi, Edward James Olmos, Gina Rodriguez, Jenni Rivera, Jorge Diaz, Kerry Norton, Lou Diamond Phillips, Marisol Doblado, Michael D. Olmos, Resmine Atis, Youssef Delara"
The Lion of Judah,"Deryck Broom, Ernest Borgnine, Georgina Cordova, Michael Madsen, Scott Eastwood"
Niagara,"Arch Johnson, Bert Stevens, Bill Coontz, Charles Brackett, Denis O'Dea, Don Wilson, Gene Wesson, George Ives, Gerd Oswald, Gloria Gordon, Harry Carey, Jr., Henry Beckman, Henry Hathaway, Jean Peters, Joseph Cotten, Joseph MacDonald, Lester Matthews, Lionel Newman, Lurene Tuttle, Marilyn Monroe, Max Showalter, Minerva Urecal, Neil Fitzgerald, Nina Varela, Patrick O'Moore, Richard Allan, Richard L. Breen, Robert Ellis, Russell Collins, Sean McClory, Sol Kaplan, Tom Reynolds, Walter Reisch, Will Wright, Willard Sage"
How Green Was My Valley,"Alfred Newman, Ann Todd, Anna Lee, Arthur C. Miller, Arthur Shields, Barry Fitzgerald, Donald Crisp, Ethel Griffies, Evan S. Evans, Frederick Worlock, James Monks, John Ford, John Loder, Lionel Pape, Marten Lamont, Maureen O'Hara, Morton Lowry, Patric Knowles, Rhys Williams, Richard Fraser, Roddy McDowall, Sara Allgood, Walter Pidgeon"
Da Sweet Blood of Jesus,"Bruce Hornsby, Elvis Nolasco, Felicia Pearson, Lauren Macklin, Rami Malek, Spike Lee, Stephen Henderson, Stephen Tyrone Williams, Steven Hauck, Thomas Jefferson Byrd, Zaraah Abrahams"
"Sex, Lies, and Videotape","Alexandra Root, Andie MacDowell, Cliff Martinez, David Foil, Earl T. Taylor, James Spader, Laura San Giacomo, Peter Gallagher, Ron Vawter, Steven Brill, Steven Soderbergh, Walt Lloyd"
Saw,"Alexandra Bokyun Chun, Avner Garbi, Benito Martinez, Cary Elwes, Charlie Clouser, Daniel J. Heffner, Danny Glover, David A. Armstrong, Dina Meyer, Hans Raith, James Wan, Ken Leung, Leigh Whannell, Makenzie Vega Norfolk, Michael Emerson, Mike Butters, Monica Potter, Ned Bellamy, Paul Gutrecht, Shawnee Smith, Tobin Bell"
Super Troopers,"Aria Alpert Adjani, Blanchard Ryan, Brian Cox, Erik Stolhanske, Geoffrey Arend, Jay Chandrasekhar, Jim Gaffigan, Jimmy Noonan, Joey Kern, Kevin Heffernan, Lynda Carter, Maria Tornberg, Marisa Coughlan, Paul Soter, Philippe Brenninkmeyer, Steve Lemme"
The Algerian,"Alicia Mitchell, Ben Youcef, Candice Coke, Giovanni Zelko, Harry Lennix, Josh Pence, Tara Holt"
The Amazing Catfish,"Agnès Godard, Alejandro Ramírez-Muñoz, Andrea Baeza, Antón Araiza, Carlos Hugo Hoeflich, Claudia Sainte-Luce, Cynthia Bordes, José Manuel Orozco Angulo, Lisa Owen, Miriam Carsi, Rocío Montiel, Sara Isabel Quintero, Sofía López, Sonia Franco, Vera Wilson, Wendy Guillén, Ximena Ayala"
Monsoon Wedding,"Declan Quinn, Ishaan Nair, Kemaya Kidwai, Lillete Dubey, Mira Nair, Mychael Danna, Naseeruddin Shah, Neha Dubey, Parvin Dabas, Randeep Hooda, Roshan Seth, Sameer Arya, Shefali Shah, Soni Razdan, Tillotama Shome, Vasundhara Das, Vijay Raaz"
You Can Count on Me,"Adam LeFevre, Allan Gill, Amy Ryan, Betsy Aidem, Brian Ramage, Gaby Hoffmann, Halley Feiffer, J. Smith-Cameron, Jon Tenney, Josh Lucas, Kenneth Lonergan, Kim Parker, Laura Linney, Lesley Barber, Lisa Altomare, Mark Ruffalo, Matthew Broderick, Michael Countryman, Nina Garbiras, Peter Kerwin, Richard Hummer, Rory Culkin, Stephen Kazmierski, Whitney Vance"
The Trouble with Harry,"Alfred Hitchcock, Barry Macollum, Bernard Herrmann, Dwight Marfield, Edmund Gwenn, Ernest Curt Bach, Howard Joslin, Jerry Mathers, John Forsythe, Leslie Woolf, Mildred Dunnock, Mildred Natwick, Parker Fennelly, Philip Truex, Robert Burks, Royal Dano, Shirley MacLaine"
But I'm a Cheerleader,"Brandt Wille, Bud Cort, Cathy Moriarty, Clea DuVall, Dante Basco, Douglas Spain, Eddie Cibrian, Jamie Babbit, Joel Michaely, Julie Delpy, Katharine Towne, Katrina Phillips, Kip Pardue, Kyle Thatcher, Melanie Lynskey, Michelle Williams, Mink Stole, Natasha Lyonne, Rachelle Carson, Richard Moll, Robert Pine, RuPaul, Wesley Mann"
Home Run,"Brian Brightly, Brian Shoop, Candace Lee, Charles Henry Wyson, David Boyd, Dorian Brown, Doug Van Liew, Drew Waters, Eric Newman, J. Alan Davidson, James Devoti, Nathaniel Dupree, Nicole Leigh, Robert Peters, Samantha Isler, Scott Elrod, Ty Fanning, Vivica A. Fox"
Reservoir Dogs,"Andrzej Sekula, Chris Penn, David Steen, Edward Bunker, Harvey Keitel, Jamie Beardsley, Kirk Baltz, Lawrence Tierney, Michael Madsen, Quentin Tarantino, Randy Brooks, Rich Turner, Steve Buscemi, Steven Wright, Stevo Polyi, Tim Roth, Tony Cosmo"
The Blue Bird,"Al Shean, Alec Craig, Alice Armand, Ann Todd, Arthur C. Miller, Barry Downing, Billy Cook, Brandon Hurst, Buster Phelps, Caryll Ann Ekelund, Cecilia Loftus, Charles Flickinger, Claire Du Brey, Crab Apple, Dewey Robinson, Diane Fisher, Dick Rich, Dickie Moore, Donald Kearin, Dorothy Dearing, Dorothy Joyce, Eddie Collins, Eddy Waller, Edward Earle, Edwin Maxwell, Eric Wilton, Frank Dawson, Gale Sondergaard, Gene Reynolds, Harold Goodwin, Helen Ericson, Herbert Evans, Imboden Parrish, James Blaine, Jessie Ralph, Jimmie Nickells, Johnny Russell, Juanita Quigley, Keith Hitchcock, Laura Hope Crews, Leona Roberts, Mitchell Singing Boys, Nigel Bruce, Otto Hoffman, Paul Kruger, Payne B. Johnson, Raymond Rayhill Powell, Russell Hicks, Scotty Beckett, Shirley Temple, Spring Byington, Stanley Andrews, Sterling Holloway, Sybil Jason, Thurston Hall, Tommy Baker, Tommy Tucker, Venita Vincent, Walter Lang, William Byrne"
"The Good, the Bad and the Ugly","Al Mulock, Aldo Giuffrè, Aldo Sambrell, Amerigo Castrighella, Angelo Novi, Antonio Casale, Antonio Casas, Antonio Molino Rojo, Antoñito Ruiz, Attilio Dottesio, Aysanoa Runachagua, Benito Stefanelli, Bruno Nicolai, Carlo Leva, Chelo Alonso, Claudio Scarchilli, Clint Eastwood, Eli Wallach, Ennio Morricone, Enzo Petito, Fabrizio Gianni, Fortunato Arena, Frank Braña, Jesús Guzmán, John Bartha, José Terrón, Lee Van Cleef, Livio Lorenzon, Lorenzo Robledo, Luigi Ciavarro, Luigi Pistilli, Mario Brega, Mickey Knox, Nazzareno Natale, Rada Rassimov, Ricardo Palacios, Romano Puppo, Román Ariznavarreta, Sandro Scarchilli, Saturno Cerra, Sergio Donati, Sergio Leone, Sergio Mendizábal, Silvana Bacci, Tonino Delli Colli, Tony Di Mitri, Veriano Ginesi, Víctor Israel"
The Second Mother,"Alex Rusjar, Andrey Lima Lopes, Anna Muylaert, Bete Dorgan, Bárbara Álvarez, Camila Márdila, Fabio Trummer, Helena Albergaria, Hugo Villavicenzio, Karine Teles, Lourenço Mutarelli, Luci Pereira, Luis Miranda, Michel Joelsas, Milcéia Vicente, Regina Casé, Thaissa Reis, Theo Werneck, Vitor Araújo"
Blue Like Jazz,"Barak Hardley, Claire Holt, Eric Lange, Jason Marsden, Justin Welborn, Marshall Allman, Natalia Dyer, Steve Taylor, Susan Isaacs, Tania Raymonde, Valerie Jane Parker, William McKinney"
Down & Out With The Dolls,
"Pink Ribbons, Inc.","Barbara Brenner, Barbara Ehrenreich, Léa Pool, Nancy Brinker, Samantha King, Susan Love"
Certifiably Jonathan,"James David Pasternak, Jonathan Winters, Patricia Arquette, Robin Williams, Sarah Silverman"
Desire,"Aurélia Arto, Brice Fournier, Christelle Benoit, Dominique Colin, Déborah Révy, Fabien Ara, Gowan Didi, Hélène Zimmer, Jean-François Gallotte, Johan Libéreau, Johnny Amaro, Laurent Bouhnik, Léticia Belliccini, Margot Heurtematte, Noémie Leroux-Cazaubon, Patrick Hauthier, Yassine Azzouz"
The Blade of Don Juan,"Antonio Arrué, Claudia Solís, Deyssi Pelaez, Irma Maury, Jorge Gutiérrez, Juan Carlos Montoya, Nataniel Sánchez, Rodrigo Viaggio, Tom Sanchez, Viviana Andrade"
Grand Theft Parsons,"Christina Applegate, David Caffrey, Gabriel Macht, Johnny Knoxville, Marley Shelton, Michael Shannon, Robert Forster"
Extreme Movie,"Adam Jay Epstein, Akiva Schaffer, Andrew Jacobson, Andy Jacobsen, Andy Samberg, Ben Feldman, Cherilyn Wilson, Christopher Miller, Denise Boutte, Erica Rivinoja, Frankie Muniz, Jamie Kennedy, John Farley, John Solomon, Jorma Taccone, Matthew Lillard, Michael Cera, Mindy Sterling, Patrick J. Adams, Phil Lord, Ryan Pinkston, Will Forte"
The Charge of the Light Brigade,"Brandon Hurst, C. Henry Gordon, Charles Sedgwick, David Niven, Donald Crisp, E.E. Clive, Errol Flynn, G.P. Huntley, George Regas, Helen Sanborn, Henry Stephenson, Holmes Herbert, J. Carrol Naish, Lumsden Hare, Max Steiner, Michael Curtiz, Nigel Bruce, Olivia de Havilland, Patric Knowles, Princess Baba, Reginald Sheffield, Robert Barrat, Scotty Beckett, Sol Polito, Spring Byington, Walter Holbrook"
Below Zero,"Dee Hanna, Edward Furlong, Justin Thomas Ostensen, Kristin Booth, Michael Berryman, Michael Eisner, Signe Olynyk"
Crowsnest,
Airborne,"Alanna Ubach, Brittney Powell, Chris Conrad, Daniel Betances, Daryn Okada, David Betances, Edie McClurg, Jack Black, Jacob Vargas, Jim Jansen, Louan Gideon, Patrick Thomas O'Brien, Rob Bowman, Seth Green, Shane McDermott, Stewart Copeland"
Cotton Comes to Harlem,"Calvin Lockhart, Cleavon Little, Dick Sabol, Emily Yancy, Eugene Roche, Gerald Hirschfeld, Godfrey Cambridge, J.D. Cannon, John Anderson, Judy Pace, Lou Jacobi, Mabel Robinson, Ossie Davis, Raymond St. Jacques, Redd Foxx, Vinnette Carroll"
The Wicked Within,"Ali Helnwein, Enzo Cilenti, Eric Roberts, Gianni Capaldi, Heath Freeman, Jay Alaimo, Karen Austin, Michele Hicks, Sienna Guillory, Sonja Kinski, Thomas L. Callaway"
Bleeding Hearts,"Charles Durning, Deirdre Lorenz, Dennis L.A. White, Dustin Diamond, Dylan Bank, Jamie White, Ken Del Vecchio, Melantha Blackthorne, Rachael Robbins, Rich Lounello, Robert Loggia, Seregon O'Dassey, Suzi Lorraine, Tony Todd, Wilson Jermaine Heredia"
Waiting...,"Alanna Ubach, Andy Milonakis, Anna Faris, Anne Ewen, Chi McBride, Clay Chamberlin, Dane Cook, David Koechner, Emmanuelle Chriqui, J.D. Evermore, John Francis Daley, Jordan Ladd, Jordan Werner, Justin Long, Kaitlin Doubleday, Lauren Swinney, Luis Guzmán, Max Kasch, Pat Hazell, Rob Benedict, Rob McKittrick, Ryan Reynolds, Skylar Duhe, Skyler Stone, Todd Voltz, Travis Resor, Vanessa Lengies, Wayne Ferrara, Wendie Malick"
Dead Man's Shoes,"Andrew Shim, Danny Cohen, Emily Aston, Gary Stretch, George Newton, Jo Hartley, Neil Bell, Paddy Considine, Paul Hurstfield, Paul Sadot, Richard D. James, Rosie Jones, Seamus O'Neill, Shane Meadows, Stuart Wolfenden, Toby Kebbell"
From a Whisper to a Scream,"Ashli Bare, Cameron Mitchell, Clu Gulager, Didi Lanier, Harry Caesar, Jeff Burr, Martine Beswick, Megan McFarland, Miriam Byrd-Nethery, Ron Brooks, Rosalind Cash, Susan Tyrrell, Terence Knox, Terry Kiser, Thomas Nowell, Vincent Price"
Sex With Strangers,
Dracula: Pages from a Virgin's Diary,"Brent Neale, Carrie Broda, CindyMarie Small, David Moroni, Gail Stefanek, Guy Maddin, Janet Sartore, Jennifer Welsman, Johnny A. Wright, Keir Knight, Mark Godden, Matthew Johnson, Sarah Murphy-Dyson, Stephane Leonard, Stephanie Ballard, Tara Birtwhistle, Wei-Qiang Zhang"
Faith Like Potatoes,"Frank Rautenbach, Hamilton Dlamini, Jeanne Neilson, Regardt van den Bergh, Rochelle Buchan, Sean Cameron Michael"
Beyond the Black Rainbow,"Chris Gauthier, Craig Trudeau, Eva Allan, Geoffrey Conder, Gerry South, Marilyn Norry, Michael Rogers, Norm Li, Panos Cosmatos, Rondel Reynoldson, Ryley Zinger, Scott Hylands"
The Raid,"Ananda George, Dimas Imam Subhono, Donny Alamsyah, Eka 'Piranha' Rahmadia, Gareth Evans, Iang Darmawan, Iko Uwais, Joe Taslim, Joseph Trapanese, Matt Flannery, Mike Shinoda, Pierre Gruno, R. Iman Aji, Ray Sahetapy, Tegar Satrya, Umi Kulsum, Verdi Solaiman, Yayan Ruhian, Yusuf Opilus"
The Dead Undead,"America Young, Billie Proffitt, Brandon Molale, Cameron Goodman, Eddie Davenport, Edward Conna, Forrest J. Ackerman, Hillary Enclade, Johnny Pacar, Joshua Alba, Katie Eischen, Lance Frank, Laura Chinn, Laura Cordova, Luke Goss, Luke LaFontaine, Matthew R. Anderson, Spice Williams-Crosby, Vernon Wells"
The Vatican Exorcisms,Joe Marino
Casablanca,"Adolph Faylauer, Adrienne D'Ambricourt, Alberto Morin, Alexander Pollard, Anita Camargo, Arthur Dulac, Arthur Edeson, Arthur Stuart Hull, Barry Norton, Bhogwan Singh, Brandon Beach, Carl Deloro, Charles La Torre, Claude Rains, Conrad Veidt, Corinna Mura, Creighton Hale, Curt Bois, Dan Seymour, Dewey Robinson, Dick Botiller, Dina Smirnova, Dooley Wilson, Ed Agresti, Ellinor Vanderveer, Enrique Acosta, Eugene Borden, Franco Corsaro, Frank Arnold, Frank Mazzola, Frank Puglia, Fred Farrell, Geoffrey Steele, George Dee, George J. Lewis, George M. Carleton, George Meeker, George Sorel, Georges Renavent, Gerald Oliver Smith, Gino Corrado, Gregory Gaye, Gregory Golubeff, Hans Heinrich von Twardowski, Helmut Dantine, Henry Rowland, Herbert Evans, Hercules Mendez, Humphrey Bogart, Ilka Grüning, Ingrid Bergman, Jack Wise, Jacques Lory, Jacques Vanaire, Jamiel Hasson, Jean De Briac, Jean Del Val, John Qualen, Joseph DeVillard, Joy Page, Lal Chand Mehra, Lee Katz, Leo F. Forbstein, Leo Mostovoy, Leo White, Leon Belasco, Leonid Kinskey, Lester Sharpe, Lotte Palfi Andor, Lou Marcelle, Louis Mercier, Louis V. Arco, Ludwig Stössel, Madeleine Lebeau, Manuel Lopez, Manuel París, Marcel Dalio, Martin Garralaga, Maurice Brierre, Max Linder, Max Steiner, Melie Chang, Michael Curtiz, Michael Mark, Mike Tellegen, Monte Blue, Nino Bellini, Norma Varden, O.K. Ford, Olaf Hytten, Oliver Blake, Paul Henreid, Paul Irving, Paul Panzer, Paul Porcasi, Peter Lorre, Rafael Trujillo, Richard Ryen, S.Z. Sakall, Sebastian Cabot, Spencer Chan, Sydney Greenstreet, Tex Cooper, Tony Martelli, Torben Meyer, Trude Berliner, Victor Romito, William Edmunds, Winifred Harris, Wolfgang Zilzer"
Lake Mungo,"David Pledger, Joel Anderson, Martin Sharpe, Rosie Traynor, Scott Terrill, Steve Jodrell, Talia Zucker, Tamara Donnellan"
Rocket Singh: Salesman of the Year,"Gauhar Khan, Jaideep Sahni, Kyra Dutt, Mukesh Bhatt, Naveen Kaushik, Prem Chopra, Ranbir Kapoor, Shazahn Padamsee, Shimit Amin, Sumeet Darshan Dobhal"
Silent Running,"Bruce Dern, Charles F. Wheeler, Cheryl Sparks, Cliff Potts, Douglas Trumbull, Jesse Vint, Mark Persons, Peter Schickele, Ron Rifkin, Steven Brown"
Rocky,"Al Silvani, Arnold Johnson, Arthur Tovey, Bill Baldwin, Bill Conti, Billy Sands, Burgess Meredith, Burt Young, Carl Weathers, DeForest Covan, Diana Lewis, Don Sherman, Frank Pesce, Frank Stallone, Frankie Van, Fred T. Gallo, George Memmoli, George O'Hanlon, Hank Rolike, James Crabe, Jane Marla Robbins, Jimmy Gambina, Jodi Letizia, Joe Frazier, Joe Spinell, John G. Avildsen, John Pleshette, Kathleen Parker, Larry Carroll, Lavelle Roby, Lloyd Kaufman, Michael Dorn, Pedro Lovell, Shirley O'Hara, Simmy Bow, Stan Shaw, Steve Perry, Stu Nahan, Sylvester Stallone, Talia Shire, Thayer David, Tony Burton"
The Sleepwalker,"Brady Corbet, Christopher Abbott, Gitte Witt, Mona Lerche, Stephanie Ellis, Zack Galler"
Tom Jones,"Albert Finney, Angela Baddeley, Avis Bunnage, David Tomlinson, David Warner, Diane Cilento, Edith Evans, Freda Jackson, George Devine, Hugh Griffith, Jack MacGowran, Joan Greenwood, John Addison, Joyce Redman, Lynn Redgrave, Micheál MacLiammóir, Peter Bull, Rachel Kempson, Susannah York, Tony Richardson, Walter Lassally"
Unfriended,"Adam Sidman, Cal Barnes, Christa Hartsock, Courtney Halverson, Heather Sossaman, Jacob Wysocki, Levan Gabriadze, Matthew Bohrer, Mickey River, Moses Jacob Storm, Nelson Greaves, Renee Olstead, Shelley Hennig, William Peltz"
Taxi Driver,"Albert Brooks, Annie Gagen, Bernard Herrmann, Bill Minkin, Bob Maroff, Brenda Dickson, Carson Grant, Cybill Shepherd, Debbi Morgan, Diahnne Abbott, Don Stroud, Frank Adu, Gino Ardito, Harlan Cary Poe, Harry Northup, Harvey Keitel, Jodie Foster, Joe Spinell, Leonard Harris, Martin Scorsese, Mary-Pat Green, Michael Chapman, Murray Moston, Nicholas Shields, Norman Matlock, Paul Schrader, Peter Boyle, Peter R. Scoppa, Peter Savage, Ralph S. Singleton, Richard Higgs, Robert De Niro, Steven Prince, Victor Argo"
The Howling,"Belinda Balaski, Christopher Stone, Dee Wallace, Dennis Dugan, Dick Miller, Elisabeth Brooks, Forrest J. Ackerman, James Murtaugh, Jim McKrell, Joe Dante, John Carradine, John Hora, John Sayles, Jonathan Kaplan, Kenneth Tobey, Kevin McCarthy, Margie Impert, Meshach Taylor, Noble Willingham, Patrick Macnee, Pino Donaggio, Robert A. Burns, Robert Picardo, Roger Corman, Slim Pickens"
Dr. No,"Anthony Dawson, Bernard Lee, Eunice Gayson, Jack Lord, John Kitzmiller, Joseph Wiseman, Lois Maxwell, Monty Norman, Peter Burton, Sean Connery, Ted Moore, Terence Young, Ursula Andress, Zena Marshall"
Chernobyl Diaries,"Alex Feldman, Bradley Parker, Devin Kelley, Dimitri Diatchenko, Ingrid Bolsø Berdal, Jesse McCartney, Jonathan Sadowski, Kristof Konrad, Miloš Timotijević, Milutin Milošević, Nathan Phillips, Olivia Taylor Dudley, Pavel Lychnikoff, Sean Guest"
Hellraiser,"Andrew Robinson, Anthony Allen, Ashley Laurence, Christopher Hall, Christopher Young, Clare Higgins, Clive Barker, Dave Atkins, Doug Bradley, Frank Baker, Gay Baynes, Grace Kirby, Kenneth Nelson, Leon Davis, Michael Cassidy, Niall Buggy, Nicholas Vince, Oliver Parker, Oliver Smith, Pamela Sholto, Raul Newney, Robert Hines, Robin Vidgeon, Rupert Ryle-Hodges, Sean Chapman, Selwyn Roberts, Sharon Bower, Simon Bamford, Waldo Roeg"
God's Not Dead 2,"Cary Solomon, Chuck Konzelman, David A.R. White, Ernie Hudson, Gianna Simone, Harold Cronk, Hayley Orrantia, Jesse Metcalfe, Maria Canals-Barrera, Melissa Joan Hart, Pat Boone, Ray Wise, Robin Givens"
Cry_Wolf,"Anna Deavere Smith, Ashleigh Pixley, Erica Yates, Ethan Cohn, Gary Cole, Jane Beard, Jared Padalecki, Jarvis W. George, Jeff Wadlow, Jesse Janzen, Jon Bon Jovi, Julian Morris, Kristy Wu, Lindy Booth, Michael Kennedy, Michael Wandmacher, Paul James, Ranel Johnson, Romeo Tirone, Sabrina Gilbert, Sandra McCoy, Shannon Cusack, Shauna Sauls"
Godzilla 2000,"Bengaru, Hiroshi Abe, Katsuhiro Kato, Ken'ichi Ishii, Ken'ichi Nagira, Kôichi Ueda, Masahiko Nishimura, Mayu Suzuki, Naomi Nishida, Sakae Kimura, Shirô Namiki, Shirô Sano, Takao Okawara, Takehiro Murata, Takeshi Ôbayashi, Tsutomu Kitagawa, Yoshimasa Kondô, Yoshiyuki Omori"
Blue Valentine,"Andrij Parekh, Ashley Gurnari, Barbara Troy, Ben Shenkman, Carey Westbrook, Derek Cianfrance, Eileen Rosen, Enid Graham, Faith Wladyka, Grizzly Bear, James Benatti, Jen Jones, John Doman, Marshall Johnson, Maryann Plunkett, Michelle Williams, Mike Vogel, Ryan Gosling"
Transamerica,"Burt Young, Carrie Preston, Danny Burstein, David Mansfield, Duncan Tucker, Elizabeth Peña, Felicity Huffman, Fionnula Flanagan, Graham Greene, Grant Monohon, Kevin Zegers, Maurice Orozco, Paul Borghese, Stella Maeve, Stephen Kazmierski, Teala Dunn"
The Devil Inside,"Bonnie Morgan, Brian D. Johnson, Claudiu Istodor, Claudiu Trandafir, Evan Helmuth, Fernanda Andrade, Ionut Grama, John Prosky, Matthew Peterman, Simon Quarterman, Suzan Crowley, William Brent Bell"
Beyond the Valley of the Dolls,"C.E. Dismukes, Charles Napier, Coleman Francis, Cynthia Myers, David Hall, Dolly Read, Duncan McLeod, Edy Williams, Erica Gavin, Fred J. Koenekamp, Garth Pillsbury, Haji, Harrison Page, James Iglehart, John Lazar, Karen Smith, Lavelle Roby, Marcia McBroom, Michael Blodgett, Pam Grier, Phyllis Davis, Princess Livingston, Russ Meyer, Sebastian Brook, Stan Ross, Stu Phillips"
Love Me Tender,"Barry Coe, Bruce Bennett, Debra Paget, Dick Sargent, Elvis Presley, James Drury, Ken Clark, L.Q. Jones, Leo Tover, Lionel Newman, Mildred Dunnock, Neville Brand, Richard Egan, Robert D. Webb, Robert Middleton, Russ Conway, Stanley Hough, William Campbell"
An Inconvenient Truth,"Al Gore, Billy West, Davis Guggenheim, George H. W. Bush, George W. Bush, John Stewart, Robert Richman, Ronald Reagan"
Sands of Iwo Jima,"Adele Mara, Al Murphy, Allan Dwan, Arthur Franz, Billy Lechner, Bruce Edwards, Carole Gallagher, Conrad Binyon, David Clarke, David M. Shoup, Dick Wessel, Dickie Jones, Don Haggerty, Dorothy Ford, Forrest Tucker, Frank O'Connor, Fred A. Datig, Fred Graham, George Tyne, Gil Herman, Glen Vernon, H.P. Crowe, Hal Baylor, Harold G. Schrier, I. Stanford Jolley, Ira H. Hayes, James Brown, James Holden, John Agar, John H. Bradley, John McGuire, John Wayne, John Whitney, Joy Windsor, Judy Sochor, Julie Bishop, Leonard Gumley, Martin Milner, Mickey McCardle, Peter Coe, Reggie Lanning, Rene A. Gagnon, Richard Jaeckel, Richard Webb, Roger McGee, Steve Wayne, Ted White, Wally Cassell, William Hudson, William Murphy, William Self"
Shine a Light,"Andrew Lesnie, Benicio del Toro, Blondie Chaplin, Buddy Guy, Charlie Watts, Christina Aguilera, Dorothy Howell Rodham, Ellen Kuras, Emmanuel Lubezki, Jack White, John Toll, Keith Richards, Kent Smith, Martin Scorsese, Michael Davis, Mick Jagger, Robert Elswit, Robert Richardson, Ronnie Wood, Stuart Dryburgh, Tim Ries"
The Green Inferno,"Aaron Burns, Antonieta Pari, Antonio Quercia, Ariel Levy, Clara Vázquez, Cody Pittman, Daryl Sabara, Eli Roth, Eusebio Arenas, Ignacia Allamand, Kirby Bliss Blanton, Lorenza Izzo, Magda Apanowicz, Manuel Riveiro, Mary Dunworth, Matías López, Nicolas Martinez, Pablo Atienza, Percy Chumbe, Ramón Llao, Richard Burgi, Sally Rose, Sky Ferreira, Stefano Villabona, Tatiana Panaifo"
Departure,"Alex Lawther, Andrew Steggall, Brian Fawcett, Finbar Lynch, Juliet Stevenson, Niamh Cusack, Patrice Juiff, Phénix Brossard"
The Sessions,"Adam Arkin, Annika Marks, B.J. Clinkscales, Ben Lewin, Blake Lindsley, Daniel Quinn, Geoffrey Simpson, Helen Hunt, James Martinez, Jarrod Bailey, Jennifer Kumiyama, John Hawkes, Marco Beltrami, Ming Lo, Moon Bloodgood, Rhea Perlman, Robin Weigert, Rusty Schwimmer, Tobias Forrest, W. Earl Brown, William H. Macy"
"Food, Inc.","Carole Morison, Elise Pearlstein, Eric Schlosser, Kim Roberts, Michael Pollan, Richard Lobb, Robert Kenner, Vince Edwards"
October Baby,"Andrew Erwin, Cecil Stokes, Jason Burkey, John Schneider, Jon Erwin, Jon Erwin , Rachel Hendrix , Robert Amaya "
Next Stop Wonderland,"Alan Gelfant, Brad Anderson, Holland Taylor, Hope Davis, Jason Lewis, Philip Seymour Hoffman"
The Skeleton Twins,"Adriane Lenox, Benjamin McGowan, Bill Hader, Boyd Holbrook, Cliff Moylan, Craig Johnson, Eddie Schweighardt, Genevieve Adams, Ian Hyland, Joanna Gleason, Kathleen Rose Perkins, Kristen Wiig, Luke Wilson, Mark Heyman, Nathan Larson, Paul Castro Jr., Reed Morano, Sydney Lucas, Truck Hudson, Ty Burrell"
Martha Marcy May Marlene,"Adam David Thompson, Allen McCullough, Brady Corbet, Christopher Abbott, Danny Bensi, Elizabeth Olsen, Gregg Burton, Hugh Dancy, Jody Lee Lipes, John Hawkes, Julia Garner, Lauren Molina, Louisa Krause, Maria Dizzia, Sarah Paulson, Saunder Jurriaans, Sean Durkin, Tobias Segal"
